,t,x,y,vx,vy,s
13459,1317.27,465500,-875500,-117.20796966552734,-53.98850631713867,1452.45068359375
13460,1358.8328571428572,465500,-876000,-117.63004302978516,-53.96852111816406,1446.31103515625
13461,1382.92,465500,-876500,-118.22998809814452,-53.890960693359375,1442.18359375
13462,1231.0255555555557,465500,-878500,-121.74188995361328,-55.13835144042969,1405.6575927734375
13463,1230.82,465500,-879000,-123.2376937866211,-51.77281188964844,1385.957275390625
13464,1218.3360869565215,465500,-879500,-124.53021240234376,-48.89156723022461,1369.0823974609375
13465,1402.36,465500,-882000,-131.8565216064453,-42.63921737670898,1385.5406494140625
13466,1398.445,465500,-882500,-132.9056854248047,-42.63077545166016,1391.066162109375
13467,1638.2966666666666,465500,-886000,-142.06063842773438,-39.18095016479492,1376.406982421875
13468,1660.8774074074074,465500,-886500,-142.36343383789062,-38.11184310913086,1381.435302734375
13469,1422.9272727272728,465500,-888500,-138.02401733398438,-38.29510116577149,1401.88623046875
13470,1413.9325,465500,-889000,-138.66278076171875,-41.531734466552734,1400.1883544921875
13471,1638.61,465500,-896000,-142.3310546875,-42.59097290039063,1346.8275146484375
13472,1490.89,465500,-902500,-153.6409149169922,-24.619895935058597,1377.1031494140625
13473,1477.6844444444444,465500,-903000,-154.9866485595703,-24.302474975585938,1379.6734619140625
13474,1516.0644444444445,465500,-903500,-156.7891387939453,-25.213363647460938,1381.772705078125
13475,1352.8366666666666,465500,-906500,-166.3059539794922,-23.54936981201172,1348.16650390625
13476,1358.121111111111,465500,-907000,-167.08309936523438,-21.242162704467773,1340.0977783203125
13477,1528.5005882352943,465500,-907500,-167.90826416015625,-17.86228370666504,1330.6439208984375
13478,1493.017222222222,465500,-908000,-168.71136474609375,-14.487180709838867,1325.9635009765625
13479,1461.421875,465500,-908500,-169.27850341796875,-11.617860794067385,1326.18115234375
13480,1514.9092307692308,465500,-909000,-169.73817443847656,-9.398885726928713,1332.2353515625
13481,1541.2803571428572,465500,-909500,-170.119384765625,-7.658018112182617,1340.151611328125
13482,1488.38,465500,-911000,-170.75558471679688,-2.2554876804351807,1355.1138916015625
13483,1511.625,465500,-911500,-170.30303955078125,-1.3178541660308838,1360.697265625
13484,1509.3825000000002,465500,-912000,-168.43716430664062,-0.3729670345783233,1364.3543701171875
13485,1469.1407692307691,465500,-912500,-165.90774536132812,0.8253390789031982,1367.3751220703125
13486,1427.8633333333337,465500,-913000,-163.49595642089844,1.971381902694702,1369.280029296875
13487,1366.878888888889,465500,-913500,-161.9212188720703,1.606408715248108,1375.0330810546875
13488,1298.77075,465500,-914000,-159.61666870117188,2.020394802093506,1373.026123046875
13489,1296.411875,465500,-916000,-142.49752807617188,4.180469512939453,1356.4002685546875
13490,1270.9235714285714,465500,-916500,-139.0424041748047,4.478437423706055,1346.095947265625
13491,1257.392857142857,465500,-925500,-90.45387268066406,18.762710571289062,1388.112548828125
13492,1341.0014285714285,465500,-926000,-89.18480682373047,19.546003341674805,1389.5260009765625
13493,1327.6746666666666,465500,-926500,-88.95638275146484,20.27998161315918,1392.0177001953125
13494,1347.6883333333333,465500,-927000,-88.60850524902344,20.630239486694336,1395.919189453125
13495,1333.0400000000002,465500,-927500,-87.85733032226562,20.101675033569336,1399.629638671875
13496,1340.651142857143,465500,-928000,-86.78731536865234,18.44491195678711,1402.21728515625
13497,1361.2072727272728,465500,-928500,-83.39610290527344,15.66074275970459,1404.046142578125
13498,1392.6891666666668,465500,-939000,-62.75202941894531,6.214017868041992,1389.22705078125
13499,1347.157894736842,465500,-939500,-60.95443344116211,5.732464790344238,1389.3343505859375
13500,1371.196,465500,-940000,-58.71770095825195,5.048294544219971,1389.3743896484375
13501,1732.310588235294,465500,-952000,-20.9541015625,28.481918334960938,1456.5042724609375
13502,1723.491,465500,-952500,-21.317968368530277,28.60983657836914,1463.16064453125
13503,1733.998148148148,465500,-953500,-20.09811782836914,29.305564880371094,1480.2276611328125
13504,1766.68,465500,-954000,-19.06160545349121,29.108816146850582,1486.7569580078125
13505,1641.12,465500,-964500,-15.94437026977539,21.656118392944336,1535.7158203125
13506,1656.2105263157894,465500,-965000,-16.23932456970215,21.22461700439453,1536.7889404296875
13507,1697.305,465500,-965500,-15.65749454498291,20.2314395904541,1537.6485595703125
13508,1664.8949999999998,465500,-970500,-7.987804412841797,11.194568634033203,1565.6927490234375
13509,1156.6558823529413,465500,-971000,-6.355808258056641,9.62295627593994,1567.8126220703125
13510,917.839,465500,-971500,-5.3677978515625,8.193523406982422,1577.0692138671875
13511,667.0178947368421,465500,-981000,1.4359264373779297,7.649658679962158,1796.3455810546875
13512,1651.4466666666667,466000,-805500,-24.657377243041992,-41.054874420166016,1882.9405517578125
13513,1547.65,466000,-806000,-24.28910446166992,-41.81346893310547,1879.4024658203125
13514,1909.638823529412,466000,-811000,-22.054119110107425,-46.5799674987793,1806.0191650390625
13515,1904.69,466000,-811500,-22.388824462890625,-48.05785751342773,1807.5048828125
13516,1831.664210526316,466000,-820000,-31.901575088500977,-54.38475036621094,1769.9454345703125
13517,1821.0516666666665,466000,-820500,-32.12057113647461,-55.75516128540039,1768.8236083984375
13518,1848.8584210526317,466000,-822000,-33.039306640625,-61.54362106323242,1766.8055419921875
13519,1859.257857142857,466000,-839000,-78.55307006835938,-72.73863220214844,1642.459228515625
13520,1882.6,466000,-839500,-79.23194885253906,-72.22093200683594,1639.2264404296875
13521,1685.5166666666669,466000,-842500,-83.17461395263672,-70.96566009521484,1622.156005859375
13522,1695.035,466000,-843000,-84.5863037109375,-70.14271545410156,1615.530517578125
13523,1647.2235294117647,466000,-850000,-92.74803924560548,-63.53130340576172,1612.595947265625
13524,1610.435,466000,-850500,-93.42452239990234,-63.50201797485352,1615.0499267578125
13525,1420.8125,466000,-851500,-94.07433319091795,-65.68256378173828,1613.2435302734375
13526,1425.808,466000,-852000,-94.81696319580078,-67.56653594970703,1608.7911376953125
13527,1543.036,466000,-856500,-100.25653839111328,-70.02564239501953,1553.2728271484375
13528,1538.3684210526317,466000,-857000,-100.31893157958984,-70.39796447753906,1551.5240478515625
13529,1544.1204347826083,466000,-857500,-100.5848159790039,-70.92138671875,1550.1627197265625
13530,1531.22,466000,-858000,-101.16908264160156,-71.19831085205078,1548.4068603515625
