,center_index,t_mean,t_std,t_count,t_sem,t_sem_check,x,y
6653,420500_-841000,1543.8182352941176,28.74059960128144,17,6.970619288215776,6.970619288215776,420500,-841000
6654,420500_-849500,1509.2415384615383,21.745707180251202,13,6.031174019970858,6.031174019970858,420500,-849500
6655,420500_-850000,1416.953,30.05947474766083,20,6.721502890370795,6.721502890370795,420500,-850000
6656,420500_-857500,915.5328571428571,0.46060519195632893,7,0.17409239864308781,0.17409239864308781,420500,-857500
6657,420500_-858000,918.8729411764706,1.4591083094902928,17,0.35388574583793536,0.35388574583793536,420500,-858000
6658,420500_-858500,941.7833333333333,9.25265621639663,18,2.180871984867307,2.180871984867307,420500,-858500
6659,420500_-859000,964.5258823529412,13.121355712550999,17,3.1823962090676146,3.1823962090676146,420500,-859000
6660,420500_-859500,1014.9317647058824,9.356889330390532,17,2.269379002142063,2.269379002142063,420500,-859500
6661,420500_-860000,1063.9076470588236,11.090139499467428,17,2.6897539152434575,2.6897539152434575,420500,-860000
6662,420500_-860500,1071.3755555555554,5.848392662264285,18,1.3784793701762408,1.3784793701762408,420500,-860500
6663,420500_-861000,1096.6366666666665,8.529873777885989,6,3.482306387694488,3.482306387694488,420500,-861000
6664,420500_-880000,1533.4023076923077,64.49241133056482,13,17.88697661005125,17.88697661005125,420500,-880000
6665,420500_-880500,1604.1265217391306,43.086431064747394,23,8.984141927276347,8.984141927276347,420500,-880500
6666,420500_-881000,1682.6950000000002,36.50733487944575,4,18.253667439722875,18.253667439722875,420500,-881000
6667,420500_-884000,1660.3000000000002,5.062884553295658,2,3.5799999999999836,3.5799999999999836,420500,-884000
6668,420500_-884500,1614.3206666666667,15.817994033318262,15,4.084188497429994,4.084188497429994,420500,-884500
6669,420500_-886000,1420.0,,1,,,420500,-886000
6670,420500_-888000,1400.49,9.876002661574708,8,3.4916942265079336,3.4916942265079336,420500,-888000
6671,420500_-888500,1395.381052631579,7.828330952193811,19,1.7959422903791766,1.7959422903791766,420500,-888500
6672,420500_-889000,1402.6083333333333,2.211455779948333,6,0.9028230416003359,0.9028230416003359,420500,-889000
6673,420500_-891500,1457.8947058823528,13.76695687036853,17,3.33897748940307,3.33897748940307,420500,-891500
6674,420500_-892500,1447.11,4.009999999999934,3,2.3151745794503613,2.3151745794503613,420500,-892500
6675,420500_-893000,1490.4655555555555,24.491599813771014,18,5.772725436808224,5.772725436808224,420500,-893000
6676,420500_-893500,1560.581052631579,9.795483593494028,19,2.2472380572184796,2.2472380572184796,420500,-893500
6677,420500_-894000,1566.321,1.9511162047516781,10,0.6169971186678744,0.6169971186678744,420500,-894000
6678,420500_-897000,1618.3782352941178,8.464899759665142,17,2.05303975408029,2.05303975408029,420500,-897000
