lon,lat,x,y,s,t,b,b_inferred,source,VX,VY,ERRX,ERRY,xflux,yflux,xflux_err,yflux_err,source_age
149.305364,-82.084815,439671.0865740287,-740648.4460370856,2180.83,1404.75,776.08,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.593034656011313,-1.8025106358198189,0.21990531913655487,0.2878664970058921,-5047.315433031892,-2532.0768156678905,308.91199705707544,404.38046166902694,6
149.226689,-82.076893,441130.1027717735,-740786.9698117593,2184.44,1426.61,757.83,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.37578269925098,-1.5818528185864984,0.19999167630015816,0.2532844833878752,-4815.92535657844,-2256.6870495236844,285.3101253265686,361.3381768459766,6
149.148026,-82.068984,442589.4487682665,-740921.763143007,2184.4,1493.11,691.29,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.518331124802423,-1.664953135348096,0.19697364384754593,0.24473815066259924,-5253.255385753745,-2485.9581759195953,294.10331736520925,365.42098013583353,6
149.071787,-82.060693,444040.0783913901,-741108.5049419667,2180.23,1532.38,647.85,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.7544004002304594,-1.1935716788389852,0.19715489350927606,0.24188439155878966,-5753.168085305152,-1829.0053692192841,302.1162157157445,370.65880393685813,6
149.013562,-82.049947,445396.8693860429,-741662.4660466909,2183.19,1469.47,713.72,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.6249537758195567,-1.3296506134778387,0.1971433723369584,0.2416665984773859,-5326.760824953564,-1953.8816869872796,289.69627134799026,355.12181646456423,6
148.942783,-82.040851,446824.9493219996,-741962.2495177622,2182.22,1479.68,702.54,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.695518515587699,-1.8599577660321467,0.1924451278234898,0.2362431141483773,-5468.184837144807,-2752.142307242447,284.7572067378614,349.5642111430709,6
148.8617,-82.033505,448289.1530395681,-742015.5147645671,2183.95,1475.19,708.76,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-2.8832099637436532,-2.37116588163171,0.1848115745247717,0.22880803754138476,-4253.282506415,-3497.920196924282,272.632186623198,337.5353289006754,6
148.795316,-82.023808,449696.9770697845,-742400.9884226912,2171.06,1159.88,1011.18,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.125847374686724,-2.1670263554432223,0.18318718823198338,0.22869347314915026,-3625.607852951638,-2513.490529151485,212.4751558865129,265.25698563623644,6
148.7285,-82.014109,451112.0153823186,-742780.9902512737,2176.97,1604.18,572.79,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.578727613708468,-2.7245026573475353,0.19189271566487245,0.24247428886328432,-5740.92326335885,-4370.59267286377,307.8304566152751,388.97240470870344,6
148.658435,-82.004869,452544.6359999916,-743090.2542727621,2178.24,1559.97,618.27,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.699604498408144,-2.9531735826600034,0.19634744709020654,0.24956693619132492,-5771.272029381753,-4606.862193742126,306.29612703730953,389.31693345038116,6
